FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
517573,15/01/2021,2021,1,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1643.0,1643.0
517573,15/02/2021,2021,2,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1422.0,1422.0
517573,15/03/2021,2021,3,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1613.0,1613.0
517573,15/04/2021,2021,4,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1848.0,1848.0
517573,15/05/2021,2021,5,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1853.0,1853.0
517573,15/06/2021,2021,6,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1849.0,1849.0
517573,15/07/2021,2021,7,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1947.0,1947.0
517573,15/08/2021,2021,8,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,1935.0,1935.0
517573,15/09/2021,2021,9,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,2106.0,2106.0
517573,15/10/2021,2021,10,C746,ADDINTELI,C0746,ADDINTELI,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",0.0,0.0,0.0,0.0,2387.0,2387.0
