FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
100388,15/01/2013,2013,1,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1237532,1397561,0,0,0,2635093
100388,15/02/2013,2013,2,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1285116,1423688,0,0,0,2708804
100388,15/03/2013,2013,3,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1365849,1461831,0,0,0,2827680
100388,15/04/2013,2013,4,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1256087,1539501,0,0,0,2795588
100388,15/05/2013,2013,5,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1281100,1562161,0,0,0,2843261
100388,15/06/2013,2013,6,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1300082,1599256,0,0,0,2899338
100388,15/07/2013,2013,7,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1319387,1628700,0,0,0,2948087
100388,15/08/2013,2013,8,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1309297,1659263,0,0,0,2968560
100388,15/09/2013,2013,9,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1316038,1691826,0,0,0,3007864
100388,15/10/2013,2013,10,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1328350,1722698,0,0,0,3051048
100388,15/11/2013,2013,11,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1358099,1746033,0,0,0,3104132
100388,15/12/2013,2013,12,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1397256,1780628,0,0,0,3177884
100388,15/01/2014,2014,1,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1392872,1800589,0,0,0,3193461
100388,15/02/2014,2014,2,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1435955,1811916,0,0,0,3247871
100388,15/03/2014,2014,3,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1499605,1817775,0,0,0,3317380
100388,15/04/2014,2014,4,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1544300,1803035,0,0,0,3347335
100388,15/05/2014,2014,5,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1562961,1809986,0,0,0,3372947
100388,15/06/2014,2014,6,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1575069,1809338,0,0,0,3384407
100388,15/07/2014,2014,7,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1628983,1865235,0,0,0,3494218
100388,15/08/2014,2014,8,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1704449,1875593,0,0,0,3580042
100388,15/09/2014,2014,9,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1757146,1890156,0,0,0,3647302
100388,15/10/2014,2014,10,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1825568,1836609,0,0,0,3662177
100388,15/11/2014,2014,11,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1885503,1857046,0,0,0,3742549
100388,15/12/2014,2014,12,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1975600,1880787,0,0,0,3856387
100388,15/01/2015,2015,1,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1320432,1260509,0,0,0,2580941
100388,15/02/2015,2015,2,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",1285770,1380973,0,0,0,2666743
100388,15/03/2015,2015,3,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",788165,1845808,0,0,0,2633973
100388,15/04/2015,2015,4,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",725673,1796024,0,0,0,2521697
100388,15/05/2015,2015,5,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",700307,1810396,0,0,0,2510703
100388,15/06/2015,2015,6,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",691887,1801336,0,0,0,2493223
100388,15/07/2015,2015,7,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",629985,1838970,0,0,0,2468955
100388,15/08/2015,2015,8,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",619768,1833699,0,0,0,2453467
100388,15/09/2015,2015,9,G005,IUSACELL-UNEFÓN,C0263,IUSACELL,"IUSACELL PCS DE MEXICO, S.A. DE C.V.",579791,1767172,0,0,0,2346963
100418,15/01/2019,2019,1,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",2962,0,0,0,0,2962
100418,15/02/2019,2019,2,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",25469,0,0,0,0,25469
100418,15/03/2019,2019,3,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",21501,0,0,0,0,21501
100418,15/04/2019,2019,4,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",12020,0,0,0,0,12020
100418,15/05/2019,2019,5,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",12020,0,0,0,0,12020
100418,15/06/2019,2019,6,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",12020,0,0,0,0,12020
100418,15/07/2019,2019,7,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",0,0,1833,0,0,1833
100418,15/08/2019,2019,8,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",0,0,1682,0,0,1682
100418,15/09/2019,2019,9,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",0,0,1541,0,0,1541
100418,15/10/2019,2019,10,G008,MEGACABLE-MCM,C0378,MEGACABLE,"MEGA CABLE, S.A. DE C.V.",0,0,1294,0,0,1294
