"Grupo Económico","Líneas fijas por GIE","Empresa","Concesionario","Líneas fijas"
"América Móvil",10127303,"Telmex-Telnor","Teléfonos de México, S.A.B. de C.V y Teléfonos del Noroeste, S.A. de C.V.",10127303
"Grupo Televisa",8420862,"Izzi","Televisión Internacional, S.A. de C.V.",2359114
"Grupo Televisa",8420862,"Izzi","Cablemas Telecomunicaciones, S.A. de C.V.",1992554
"Grupo Televisa",8420862,"Izzi","Cablevisión, S.A. de C.V.",1396498
"Grupo Televisa",8420862,"Sky","Operbes, S.A. de C.V.",2125553
"Grupo Televisa",8420862,"Sky","México Red de Telecomunicaciones, S. de R.L. de C.V.",547143
"Megacable-MCM",6995757,"Megacable","Mega Cable, S.A. de C.V.",4899943
"Megacable-MCM",6995757,"Megacable","Servicio y Equipo en Telefonía, Internet y TV, S.A. de C.V.",218013
"Megacable-MCM",6995757,"MCM Telecom","Megacable Telecomunicaciones de México, S.A. de C.V.",1877801
"Grupo Salinas",5857284,"Totalplay","Total Play Comunicaciones, S.A.P.I. de C.V.",5857284
"Otros",,,,16686
"TOTAL",,,,31417892
