"Grupo Económico","Acceso por GIE","Empresa","Concesionario","Accesos"
"América Móvil",12000511,"Telmex-Telnor","Teléfonos de México, S.A.B. de C.V. y Teléfonos del Noroeste, S.A. de C.V.",12000511
"Grupo Televisa",5795294,"Izzi","Televisión Internacional, S.A. de C.V.",2327513
"Grupo Televisa",5795294,"Izzi","Cablemas Telecomunicaciones, S.A. de C.V.",1943725
"Grupo Televisa",5795294,"Izzi","Cablevisión, S.A. de C.V.",1322706
"Grupo Televisa",5795294,"Sky","Corporación de Radio y Televisión del Norte de México, S. de R.L. de C.V.",201350
"Megacable-MCM",5777464,"Megacable","Mega Cable, S.A. de C.V.",5529818
"Megacable-MCM",5777464,"Megacable","Servicio y Equipo en Telefonía, Internet y TV, S.A. de C.V.",245936
"Megacable-MCM",5777464,"MCM Telecom","Megacable Comunicaciones de México, S.A. de C.V.",1710
"Grupo Salinas",5545070,"Totalplay","Totalplay Telecomunicaciones, S.A.P.I. de C.V.",5545070
"Otros",,,,183373
"TOTAL",,,,29301712
